## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34720-L1_S11_L001.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34720-L1_S11_L001.sorted.RG.dedup.bqsr.CollectWgsMetrics.Q0.M0.txt MINIMUM_MAPPING_QUALITY=0 MINIMUM_BASE_QUALITY=0 REFERENCE_SEQUENCE=../../../reference_genome_ensembl/Mus_musculus.GRCm38.dna.primary_assembly.fa    COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 25 13:52:12 CET 2020

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2652783500	13,877113	6,422052	14	3	0	0,068963	0,000454	0,000019	0,013944	0,011296	0,094676	0,962667	0,950521	0,838987	0,445054	0,109795	0,01853	0,006114	0,002511	0,001428	0,000959	0,000715	0,000565	0,000464	0,00039	0,945829	13

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	99036091
1	6067473
2	6183889
3	8027630
4	11942734
5	19270494
6	31874694
7	51525709
8	79218388
9	113986735
10	152679211
11	190042616
12	220382780
13	238891108
14	243020730
15	232878899
16	210999030
17	181309259
18	148266992
19	115917207
20	86856713
21	62590741
22	43599480
23	29507643
24	19550007
25	12779890
26	8324472
27	5497076
28	3717848
29	2618936
30	1938120
31	1503454
32	1218075
33	1021593
34	874109
35	758107
36	662264
37	586761
38	523428
39	470654
40	423882
41	382148
42	347164
43	315509
44	290285
45	264921
46	241969
47	220769
48	202339
49	185225
50	170256
51	157696
52	145772
53	135296
54	125422
55	116228
56	108706
57	101475
58	94347
59	88350
60	82286
61	76380
62	73728
63	69001
64	66213
65	61514
66	58860
67	55652
68	53153
69	50308
70	47940
71	45548
72	43599
73	42319
74	40536
75	39058
76	37031
77	35910
78	33863
79	32469
80	31340
81	30277
82	29110
83	27873
84	27416
85	26462
86	25128
87	24585
88	23649
89	22698
90	22231
91	21536
92	20918
93	20250
94	19989
95	19281
96	18906
97	18016
98	17333
99	16963
100	16415
101	16377
102	15812
103	15209
104	14813
105	14450
106	14238
107	13569
108	13374
109	13125
110	12712
111	12125
112	11783
113	11804
114	11511
115	11170
116	10996
117	10581
118	10434
119	9989
120	9707
121	9442
122	9049
123	9122
124	8544
125	8413
126	8255
127	8321
128	7593
129	7502
130	7266
131	6988
132	6886
133	6872
134	6897
135	6849
136	6633
137	6320
138	6480
139	6347
140	5888
141	5831
142	5904
143	5906
144	5683
145	5646
146	5639
147	5606
148	5505
149	5612
150	5515
151	5437
152	5462
153	5428
154	5289
155	5345
156	5354
157	5078
158	5266
159	5176
160	5222
161	5158
162	5363
163	5301
164	5178
165	5444
166	5394
167	5391
168	5410
169	5414
170	5415
171	5261
172	5392
173	5413
174	5176
175	5093
176	5118
177	5094
178	5111
179	4985
180	5128
181	4702
182	4659
183	4683
184	4562
185	4473
186	4348
187	4249
188	4068
189	3939
190	3807
191	3661
192	3626
193	3402
194	3397
195	3129
196	3002
197	2859
198	2783
199	2577
200	2461
201	2400
202	2359
203	2309
204	2100
205	2016
206	1876
207	1865
208	1665
209	1814
210	1621
211	1598
212	1513
213	1474
214	1450
215	1309
216	1325
217	1389
218	1257
219	1179
220	1183
221	1206
222	1154
223	1131
224	1095
225	1166
226	1165
227	1191
228	1050
229	1096
230	1021
231	990
232	885
233	979
234	935
235	969
236	914
237	837
238	796
239	826
240	836
241	849
242	813
243	868
244	897
245	886
246	842
247	772
248	821
249	752
250	264537

