## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	171600320
1	12684475
2	11141639
3	12675552
4	16888522
5	25058745
6	39203790
7	60939926
8	90799462
9	126972464
10	165466361
11	200476587
12	226273670
13	238820436
14	236438702
15	220468123
16	194313486
17	162284755
18	128914952
19	97758595
20	70899444
21	49319461
22	33043824
23	21386359
24	13435875
25	8245282
26	4981633
27	3005070
28	1843614
29	1167836
30	780529
31	559807
32	429313
33	348793
34	295467
35	255995
36	226913
37	203310
38	183391
39	167252
40	152396
41	140756
42	130655
43	121576
44	113573
45	105543
46	99354
47	91629
48	84732
49	78813
50	73483
51	69118
52	63738
53	59941
54	55961
55	52505
56	48763
57	46136
58	42713
59	40138
60	37869
61	35754
62	34082
63	32228
64	30207
65	28930
66	26797
67	25346
68	24300
69	23058
70	22002
71	20852
72	20050
73	19143
74	17989
75	17124
76	16240
77	15386
78	14849
79	14052
80	13464
81	13025
82	12306
83	11778
84	11332
85	10533
86	10261
87	9625
88	9519
89	9134
90	8539
91	8600
92	8116
93	7706
94	7498
95	7269
96	7044
97	6590
98	6398
99	6201
100	6180
101	6007
102	5890
103	5576
104	5368
105	5304
106	5005
107	4939
108	4815
109	4677
110	4613
111	4360
112	4315
113	4164
114	4251
115	4088
116	3848
117	3704
118	3539
119	3533
120	3460
121	3336
122	3239
123	3090
124	3148
125	3065
126	3065
127	2893
128	2791
129	2772
130	2821
131	2658
132	2554
133	2652
134	2627
135	2494
136	2516
137	2521
138	2546
139	2475
140	2542
141	2541
142	2452
143	2490
144	2505
145	2493
146	2515
147	2632
148	2711
149	2696
150	2761
151	2755
152	2900
153	2904
154	2942
155	3048
156	3142
157	3198
158	3059
159	3227
160	3228
161	3176
162	3297
163	3364
164	3414
165	3466
166	3524
167	3452
168	3479
169	3604
170	3423
171	3524
172	3486
173	3479
174	3527
175	3500
176	3563
177	3471
178	3458
179	3280
180	3253
181	3058
182	3052
183	2966
184	2832
185	2668
186	2573
187	2485
188	2447
189	2396
190	2252
191	2068
192	1921
193	1801
194	1762
195	1593
196	1499
197	1391
198	1284
199	1168
200	1171
201	1048
202	1056
203	930
204	879
205	808
206	817
207	817
208	728
209	672
210	670
211	635
212	606
213	599
214	560
215	501
216	516
217	493
218	482
219	438
220	435
221	426
222	468
223	421
224	448
225	413
226	374
227	389
228	381
229	405
230	398
231	442
232	344
233	337
234	325
235	317
236	325
237	337
238	284
239	294
240	286
241	273
242	289
243	277
244	285
245	249
246	290
247	298
248	296
249	253
250	146670

