## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34746-L1_S37_L002.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34746-L1_S37_L002.sorted.RG.dedup.bqsr.CollectWgsMetrics.default.txt REFERENCE_SEQUENCE=../../../reference_genome_ensembl/Mus_musculus.GRCm38.dna.primary_assembly.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 03:33:51 CET 2020

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2652783500	7,771232	4,596451	8	3	0,082123	0,022569	0,00042	0,035351	0,011436	0,003389	0,155287	0,928179	0,801571	0,323424	0,045368	0,004302	0,001517	0,000997	0,000553	0,00036	0,000249	0,000171	0,000123	0,000095	0,000082	0,831271	8

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	190525706
1	32763690
2	56473050
3	97328765
4	149297292
5	203078004
6	247878713
7	274977348
8	279662660
9	262825251
10	229729062
11	187745792
12	144182333
13	104402732
14	71561228
15	46648407
16	29081550
17	17399132
18	10090252
19	5720941
20	3224446
21	1848569
22	1103475
23	710016
24	500457
25	382408
26	309998
27	261125
28	226156
29	199026
30	177132
31	158089
32	141897
33	129451
34	117310
35	107510
36	98465
37	90703
38	83123
39	76411
40	70472
41	64795
42	59671
43	54788
44	50973
45	47559
46	44377
47	41384
48	39482
49	37309
50	35147
51	33761
52	32384
53	31314
54	29532
55	28518
56	27206
57	26481
58	25877
59	25489
60	24327
61	23774
62	23104
63	22014
64	21153
65	20511
66	19278
67	18331
68	17326
69	16450
70	15874
71	15065
72	14269
73	13653
74	12716
75	12343
76	11705
77	11037
78	10627
79	9916
80	9265
81	8778
82	8414
83	7969
84	7327
85	7058
86	6754
87	6062
88	5813
89	5388
90	4899
91	4522
92	4162
93	4029
94	3642
95	3446
96	3203
97	3067
98	2835
99	2668
100	2572
101	2531
102	2347
103	2257
104	2030
105	1985
106	1949
107	1848
108	1757
109	1798
110	1637
111	1602
112	1566
113	1543
114	1319
115	1379
116	1245
117	1248
118	1155
119	1124
120	1077
121	1029
122	999
123	991
124	981
125	951
126	913
127	939
128	930
129	848
130	890
131	839
132	814
133	836
134	818
135	835
136	806
137	806
138	844
139	823
140	721
141	699
142	748
143	642
144	674
145	608
146	605
147	617
148	567
149	623
150	576
151	568
152	564
153	536
154	487
155	512
156	505
157	457
158	516
159	478
160	506
161	573
162	503
163	488
164	501
165	483
166	485
167	485
168	418
169	414
170	430
171	435
172	467
173	456
174	451
175	441
176	482
177	456
178	467
179	458
180	495
181	446
182	435
183	468
184	490
185	440
186	395
187	451
188	423
189	414
190	438
191	408
192	386
193	357
194	372
195	355
196	351
197	365
198	347
199	314
200	311
201	304
202	319
203	314
204	303
205	284
206	319
207	339
208	334
209	305
210	305
211	312
212	257
213	278
214	323
215	284
216	301
217	291
218	301
219	235
220	269
221	256
222	263
223	267
224	303
225	318
226	289
227	274
228	296
229	241
230	272
231	298
232	261
233	297
234	231
235	242
236	260
237	253
238	279
239	255
240	256
241	264
242	253
243	264
244	257
245	245
246	252
247	256
248	252
249	261
250	120416

