## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34764-L1_S55_L002.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34764-L1_S55_L002.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34764-L1_S55_L002.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 25 22:27:12 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
296	271	50	2	182814289	305,941241	81,399094	38410869	FR	19	39	59	79	101	125	157	197	267	337	497			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	339
3	338
4	363
5	333
6	350
7	379
8	390
9	375
10	385
11	383
12	423
13	385
14	423
15	429
16	437
17	442
18	466
19	3993
20	3433
21	2215
22	1259
23	1081
24	837
25	825
26	793
27	862
28	876
29	745
30	847
31	867
32	960
33	857
34	857
35	939
36	835
37	861
38	877
39	923
40	951
41	960
42	924
43	973
44	962
45	960
46	1034
47	1006
48	1137
49	1046
50	960
51	1026
52	976
53	1020
54	1078
55	1279
56	1263
57	1327
58	1347
59	1404
60	1447
61	1420
62	1502
63	1556
64	1592
65	1637
66	1652
67	1611
68	1769
69	1820
70	1875
71	1918
72	1921
73	2002
74	1916
75	2103
76	2179
77	2149
78	2201
79	2260
80	2293
81	2326
82	2328
83	2370
84	2292
85	2316
86	2710
87	2742
88	2787
89	2784
90	2903
91	2830
92	2853
93	2865
94	2852
95	2926
96	2857
97	2964
98	2966
99	3010
100	3069
101	3114
102	3137
103	3143
104	3327
105	3337
106	3554
107	3327
108	3488
109	3570
110	3665
111	3863
112	3949
113	4027
114	4078
115	4203
116	4413
117	4452
118	4746
119	4785
120	4974
121	5165
122	5603
123	5772
124	5909
125	6211
126	6194
127	6474
128	6751
129	6989
130	7458
131	7676
132	7913
133	8436
134	8555
135	8769
136	9108
137	9479
138	9901
139	10328
140	10602
141	11321
142	11628
143	11916
144	12370
145	13138
146	13158
147	13889
148	14485
149	14853
150	15571
151	16079
152	16597
153	17197
154	17891
155	18391
156	19174
157	19753
158	20312
159	21107
160	21799
161	22616
162	23465
163	24459
164	25502
165	26330
166	27086
167	28109
168	29211
169	30203
170	31175
171	31970
172	33044
173	34250
174	35154
175	36406
176	37323
177	38618
178	40058
179	41747
180	42715
181	44262
182	45681
183	46752
184	48056
185	50101
186	51243
187	53297
188	54795
189	56539
190	58317
191	59666
192	61406
193	63291
194	65154
195	67063
196	68701
197	71466
198	73143
199	75116
200	77728
201	79370
202	81831
203	83638
204	85601
205	88507
206	90296
207	93034
208	95509
209	98046
210	100243
211	103323
212	104833
213	108193
214	109596
215	112241
216	114951
217	117854
218	121079
219	123624
220	126531
221	128952
222	131545
223	133993
224	136740
225	139673
226	141908
227	145599
228	147708
229	151027
230	153439
231	155051
232	159397
233	160657
234	162578
235	164729
236	167995
237	170135
238	172355
239	175884
240	177853
241	180703
242	182055
243	184443
244	185900
245	187499
246	189378
247	191911
248	193979
249	196347
250	198589
251	200074
252	201026
253	203702
254	203819
255	205242
256	206613
257	207590
258	209186
259	211046
260	212639
261	213302
262	214422
263	215144
264	216067
265	215751
266	216102
267	216035
268	217235
269	217945
270	219545
271	219589
272	219487
273	218463
274	218576
275	218705
276	218757
277	218113
278	218665
279	218194
280	218228
281	217307
282	217589
283	217140
284	217504
285	216271
286	215823
287	214944
288	215024
289	212939
290	212700
291	211779
292	210780
293	211146
294	209377
295	208212
296	206054
297	205040
298	203595
299	202648
300	202028
301	200535
302	199591
303	198984
304	198078
305	195916
306	193094
307	192625
308	191210
309	190002
310	188256
311	187433
312	186794
313	185469
314	183260
315	182167
316	180684
317	178713
318	177191
319	175469
320	173250
321	173146
322	171207
323	170395
324	168841
325	168001
326	166119
327	164128
328	162759
329	161406
330	159796
331	158286
332	157497
333	156491
334	154696
335	153233
336	152272
337	149874
338	149234
339	146644
340	144892
341	144478
342	143413
343	141089
344	140309
345	139025
346	137512
347	135725
348	135718
349	133090
350	131815
351	130634
352	128977
353	128078
354	126969
355	126243
356	124258
357	123168
358	122163
359	120304
360	118396
361	117333
362	116280
363	114830
364	113921
365	113190
366	111904
367	110489
368	109698
369	108206
370	106769
371	105527
372	104456
373	103365
374	102188
375	100910
376	100231
377	100198
378	98237
379	96767
380	95555
381	94594
382	93091
383	92197
384	90935
385	89987
386	89325
387	88204
388	86909
389	86559
390	84440
391	83882
392	82829
393	81910
394	80569
395	79422
396	78705
397	77939
398	76950
399	75775
400	74642
401	73772
402	72695
403	71614
404	71207
405	70260
406	69318
407	69295
408	67656
409	67164
410	66074
411	64641
412	63714
413	63054
414	62729
415	61494
416	60646
417	60298
418	58927
419	58880
420	57648
421	56861
422	56289
423	55722
424	54561
425	53895
426	52777
427	52109
428	51803
429	51004
430	50436
431	49667
432	48897
433	48522
434	47223
435	46767
436	46206
437	45700
438	45018
439	44199
440	43799
441	43208
442	42763
443	41540
444	41268
445	40812
446	39844
447	39477
448	38249
449	38270
450	37659
451	36997
452	36587
453	36053
454	35552
455	34964
456	34290
457	33276
458	33286
459	32778
460	32126
461	31909
462	31167
463	30942
464	30183
465	30157
466	29233
467	28982
468	28372
469	28043
470	27910
471	27046
472	26831
473	26156
474	25917
475	25285
476	24972
477	24454
478	24216
479	23950
480	23600
481	23066
482	22970
483	22148
484	22143
485	21847
486	21085
487	21186
488	20663
489	20148
490	19713
491	19396
492	18998
493	18845
494	18574
495	18169
496	17718
497	17479
498	16790
499	16637
500	16386
501	16119
502	15984
503	15643
504	15561
505	15267
506	14782
507	14411
508	14272
509	14079
510	13778
511	13460
512	13274
513	13489
514	12757
515	12551
516	12438
517	12164
518	11835
519	11762
520	11745
521	11436
522	11115
523	10983
524	10740
525	10521
526	10184
527	9912
528	9678
529	9786
530	9480
531	9169
532	8942
533	8886
534	8470
535	8615
536	8479
537	8066
538	8123
539	7819
540	7699
541	7446
542	7371
543	7205
544	7249
545	7014
546	6808
547	6774
548	6670
549	6457
550	6315
551	6168
552	5959
553	5875
554	5725
555	5560
556	5585
557	5223
558	5267
559	5023
560	4977
561	4867
562	4630
563	4493
564	4495
565	4499
566	4356
567	4154
568	4136
569	3992
570	3977
571	3865
572	3741
573	3688
574	3673
575	3526
576	3578
577	3345
578	3294
579	3296
580	3142
581	3088
582	3089
583	2960
584	2945
585	2746
586	2755
587	2662
588	2565
589	2479
590	2507
591	2428
592	2360
593	2401
594	2359
595	2242
596	2167
597	2088
598	2122
599	2123
600	1942
601	1939
602	1891
603	1925
604	1814
605	1785
606	1707
607	1707
608	1622
609	1656
610	1548
611	1537
612	1438
613	1448
614	1395
615	1319
616	1390
617	1302
618	1269
619	1237
620	1174
621	1203
622	1132
623	1094
624	1119
625	1101
626	1081
627	1071
628	1037
629	975
630	939
631	932
632	901
633	870
634	851
635	870
636	810
637	737
638	827
639	722
640	759
641	712
642	721
643	628
644	665
645	644
646	662
647	635
648	646
649	578
650	585
651	606
652	575
653	542
654	553
655	572
656	478
657	443
658	419
659	424
660	386
661	371
662	347
663	362
664	362
665	361
666	329
667	354
668	328
669	345
670	313
671	296
672	294
673	334
674	276
675	313
676	267
677	270
678	258
679	259
680	245
681	257
682	242
683	210
684	238
685	211
686	231
687	220
688	202
689	236
690	216
691	192
692	185
693	222
694	204
695	182
696	167
697	157
698	186
699	160
700	155
701	170
702	141
703	139
704	154
705	145
706	130
707	135
708	146
709	136
710	141
711	166
712	162
713	136
714	122
715	105
716	85
717	125
718	122
719	110
720	96
721	125
722	111
723	110
724	112
725	87
726	111
727	85
728	94
729	102
730	91
731	96
732	78
733	73
734	80
735	74
736	71
737	92
738	57
739	68
740	67
741	83
742	60
743	71
744	79
745	75
746	66
747	61
748	71
749	67
750	63
751	62
752	62
753	50
754	70
755	60
756	57
757	56
758	50
759	53
760	53
761	45
762	63
763	45
764	55
765	52
766	47
767	64
768	45
769	40
770	38
771	34
772	45
773	52
774	44
775	46
776	32
777	42
778	45
779	38
780	48
781	34
782	30
783	42
784	43
785	48
786	37
787	37
788	39
789	36
790	39
791	26
792	25
793	37
794	50
795	54
796	26

