## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:40:35 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
401	384	63	2	191197360	405,586035	105,187094	30493498	FR	25	49	73	99	127	159	199	253	343	439	665			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	312
3	336
4	350
5	369
6	336
7	380
8	353
9	377
10	374
11	368
12	394
13	439
14	405
15	430
16	441
17	452
18	549
19	1168
20	1657
21	2156
22	1118
23	869
24	878
25	909
26	794
27	762
28	836
29	750
30	791
31	839
32	914
33	914
34	1042
35	945
36	964
37	1031
38	966
39	951
40	984
41	976
42	1026
43	1066
44	1057
45	1074
46	1129
47	1105
48	1129
49	1127
50	1161
51	1194
52	1144
53	1164
54	1164
55	1284
56	1244
57	1239
58	1318
59	1287
60	1362
61	1425
62	1448
63	1432
64	1603
65	1813
66	1867
67	1853
68	1908
69	1963
70	1954
71	2049
72	2102
73	2089
74	2177
75	2238
76	2315
77	2280
78	2378
79	2498
80	2574
81	2571
82	2633
83	2647
84	2696
85	2736
86	2846
87	2982
88	2985
89	2986
90	3046
91	3134
92	3237
93	3230
94	3130
95	3245
96	3240
97	3408
98	3352
99	3494
100	3954
101	3982
102	3982
103	4130
104	4033
105	4154
106	4209
107	4190
108	4232
109	4181
110	4219
111	4151
112	4200
113	4316
114	4231
115	4412
116	4358
117	4391
118	4492
119	4536
120	4292
121	4525
122	4565
123	4745
124	4677
125	4715
126	4641
127	4704
128	4824
129	4881
130	4917
131	4964
132	5046
133	5133
134	5056
135	5155
136	5153
137	5245
138	5642
139	5591
140	5659
141	5926
142	5741
143	5858
144	5864
145	5957
146	5898
147	6051
148	6377
149	6106
150	6173
151	6256
152	6391
153	6289
154	6323
155	6484
156	6268
157	6482
158	6372
159	6653
160	6658
161	6604
162	6812
163	6821
164	6901
165	6844
166	6926
167	7017
168	7012
169	7195
170	7362
171	7612
172	7611
173	7578
174	7777
175	7669
176	7842
177	7982
178	7908
179	8127
180	8342
181	8410
182	8688
183	8727
184	9031
185	8877
186	9257
187	9166
188	9273
189	9330
190	9531
191	9653
192	9690
193	10005
194	9854
195	10126
196	10359
197	10449
198	10365
199	10601
200	10741
201	11157
202	11328
203	11263
204	11469
205	11764
206	11870
207	11975
208	12197
209	12167
210	12638
211	12918
212	12982
213	13089
214	13688
215	13480
216	13846
217	14317
218	14479
219	14689
220	15057
221	15154
222	15299
223	15670
224	16199
225	16353
226	16715
227	17035
228	17069
229	17761
230	17938
231	18486
232	18517
233	19087
234	19670
235	19916
236	20297
237	20635
238	21197
239	21466
240	21758
241	22364
242	22772
243	23014
244	23379
245	24077
246	24457
247	24746
248	25409
249	25948
250	26415
251	26975
252	27642
253	28148
254	28447
255	28986
256	29660
257	29966
258	30830
259	31439
260	32081
261	32867
262	33402
263	33951
264	34417
265	35471
266	35897
267	36442
268	37461
269	38348
270	38660
271	39670
272	40546
273	41165
274	42230
275	42738
276	43445
277	44189
278	45406
279	46078
280	47218
281	48123
282	48708
283	49637
284	50851
285	51677
286	52973
287	54181
288	55162
289	55933
290	57055
291	58132
292	59086
293	59703
294	61016
295	61619
296	62654
297	64370
298	64443
299	66456
300	67585
301	69237
302	70419
303	71603
304	72972
305	73735
306	74789
307	76487
308	76765
309	78212
310	79273
311	80120
312	81863
313	82922
314	84047
315	85374
316	86138
317	87040
318	88333
319	89800
320	91008
321	91327
322	93290
323	94071
324	95766
325	96329
326	97558
327	97947
328	100068
329	100956
330	101733
331	103168
332	103694
333	104520
334	105662
335	107272
336	107774
337	109626
338	109876
339	110692
340	111103
341	112445
342	113645
343	114301
344	115673
345	116436
346	117477
347	118644
348	119223
349	120157
350	120536
351	121029
352	121739
353	123065
354	123294
355	124426
356	124433
357	125820
358	125929
359	126345
360	127364
361	127813
362	128210
363	128628
364	129321
365	130213
366	130556
367	131521
368	131122
369	131038
370	131432
371	131728
372	132006
373	132489
374	132295
375	132888
376	132554
377	133282
378	133600
379	133207
380	133792
381	133095
382	133092
383	133868
384	134183
385	133565
386	133580
387	133892
388	133279
389	132519
390	132666
391	132746
392	132893
393	132789
394	132553
395	132087
396	132149
397	131697
398	131686
399	131876
400	130431
401	130255
402	129930
403	129984
404	130108
405	129752
406	129096
407	128899
408	128952
409	128042
410	127267
411	127103
412	126881
413	125817
414	125206
415	124731
416	124540
417	124337
418	123458
419	122871
420	122154
421	122005
422	120780
423	120473
424	119608
425	119321
426	118622
427	117652
428	117658
429	117448
430	116518
431	115444
432	115397
433	114249
434	114109
435	112787
436	112290
437	111369
438	111589
439	110437
440	110184
441	109377
442	108280
443	107591
444	107242
445	105927
446	105826
447	105429
448	104635
449	103807
450	103507
451	102613
452	102009
453	100907
454	100634
455	99234
456	98743
457	97643
458	97087
459	96493
460	95890
461	95668
462	94942
463	93975
464	93228
465	92391
466	91278
467	90505
468	89734
469	89176
470	88988
471	88105
472	87208
473	86254
474	86167
475	85085
476	83768
477	83849
478	82672
479	81741
480	80837
481	80255
482	80215
483	79228
484	78523
485	77747
486	76889
487	75911
488	75873
489	74971
490	74101
491	73999
492	72611
493	71925
494	71522
495	70708
496	70140
497	68980
498	68893
499	67642
500	67232
501	66681
502	65463
503	64783
504	64136
505	63363
506	63438
507	62183
508	62008
509	61395
510	60260
511	60017
512	59990
513	58592
514	58492
515	57540
516	56447
517	55716
518	55254
519	55098
520	53768
521	53297
522	52779
523	52355
524	51598
525	51587
526	51020
527	50144
528	49123
529	48519
530	48030
531	47754
532	47113
533	46722
534	45811
535	45034
536	44888
537	44243
538	43344
539	42994
540	42587
541	42420
542	41371
543	40816
544	40511
545	40006
546	39622
547	38705
548	38455
549	38272
550	37342
551	36942
552	36454
553	35975
554	35482
555	34829
556	34700
557	34159
558	33925
559	33236
560	32579
561	32242
562	31953
563	31779
564	30808
565	30588
566	29898
567	29814
568	29313
569	28560
570	28461
571	28005
572	27602
573	27453
574	26816
575	26646
576	26232
577	26036
578	25387
579	25100
580	24658
581	24162
582	23741
583	23527
584	22869
585	22531
586	21889
587	21666
588	21614
589	21184
590	20883
591	20555
592	20368
593	19728
594	19957
595	19056
596	19224
597	18627
598	18359
599	18182
600	17811
601	17666
602	17397
603	17217
604	16823
605	16588
606	16265
607	16219
608	15911
609	15267
610	15416
611	14879
612	14842
613	14304
614	14039
615	14102
616	14056
617	13758
618	13669
619	13278
620	13048
621	12890
622	12709
623	12523
624	12254
625	12165
626	11846
627	11593
628	11481
629	11478
630	11296
631	10917
632	10759
633	10443
634	10423
635	10414
636	9933
637	9976
638	9541
639	9483
640	9285
641	9105
642	9105
643	8934
644	8785
645	8788
646	8318
647	8379
648	8225
649	8086
650	8096
651	7695
652	7687
653	7610
654	7416
655	7164
656	7269
657	7136
658	6963
659	6891
660	6796
661	6630
662	6658
663	6471
664	6480
665	6249
666	6106
667	6031
668	5889
669	5945
670	5719
671	5857
672	5591
673	5493
674	5469
675	5437
676	5177
677	5070
678	4920
679	4844
680	4830
681	4802
682	4574
683	4624
684	4471
685	4426
686	4286
687	4301
688	4111
689	4226
690	4021
691	4074
692	3984
693	3887
694	3770
695	3858
696	3658
697	3826
698	3566
699	3503
700	3537
701	3408
702	3403
703	3385
704	3337
705	3293
706	3170
707	3212
708	3163
709	3092
710	3001
711	3071
712	2903
713	2873
714	2960
715	2745
716	2752
717	2694
718	2633
719	2670
720	2423
721	2433
722	2481
723	2330
724	2431
725	2296
726	2326
727	2317
728	2221
729	2153
730	2221
731	2170
732	2084
733	2129
734	2032
735	2054
736	2006
737	1966
738	2003
739	1942
740	1923
741	1936
742	1939
743	1895
744	1844
745	1866
746	1838
747	1748
748	1782
749	1681
750	1737
751	1653
752	1585
753	1516
754	1520
755	1489
756	1392
757	1399
758	1381
759	1392
760	1329
761	1340
762	1304
763	1288
764	1241
765	1292
766	1183
767	1216
768	1205
769	1240
770	1162
771	1120
772	1118
773	1081
774	1069
775	1057
776	1135
777	1077
778	1074
779	1072
780	1068
781	1035
782	945
783	947
784	1004
785	940
786	937
787	893
788	893
789	869
790	844
791	857
792	891
793	855
794	838
795	858
796	820
797	794
798	820
799	823
800	740
801	768
802	758
803	794
804	741
805	702
806	671
807	725
808	755
809	660
810	707
811	684
812	686
813	617
814	659
815	648
816	646
817	643
818	615
819	656
820	617
821	542
822	621
823	517
824	549
825	574
826	585
827	551
828	569
829	530
830	537
831	547
832	486
833	495
834	488
835	495
836	491
837	440
838	409
839	418
840	383
841	392
842	389
843	362
844	340
845	324
846	321
847	323
848	328
849	316
850	319
851	339
852	312
853	315
854	303
855	314
856	325
857	293
858	301
859	276
860	280
861	298
862	295
863	305
864	255
865	247
866	249
867	290
868	289
869	275
870	266
871	254
872	250
873	274
874	230
875	237
876	235
877	280
878	264
879	275
880	241
881	275
882	216
883	252
884	259
885	204
886	239
887	231
888	234
889	240
890	229
891	232
892	224
893	259
894	235
895	229
896	217
897	214
898	225
899	220
900	229
901	232
902	208
903	198
904	205
905	195
906	170
907	202
908	191
909	191
910	222
911	201
912	184
913	204
914	197
915	195
916	195
917	193
918	206
919	200
920	183
921	186
922	178
923	198
924	187
925	177
926	147
927	167
928	147
929	166
930	192
931	191
932	168
933	156
934	182
935	179
936	175
937	174
938	174
939	156
940	179
941	162
942	164
943	179
944	188
945	171
946	170
