## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.CollectWgsMetrics.Q0.M0.txt MINIMUM_MAPPING_QUALITY=0 MINIMUM_BASE_QUALITY=0 REFERENCE_SEQUENCE=../../../reference_genome_ensembl/Mus_musculus.GRCm38.dna.primary_assembly.fa    COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 12:00:58 CET 2020

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2652783500	3,549499	3,669952	3	2	0	0,086839	0,000467	0,000004	0,01716	0,023525	0,127995	0,846104	0,316237	0,044024	0,004678	0,001206	0,00065	0,000437	0,000261	0,000187	0,000147	0,000123	0,000107	0,000096	0,000088	0,468184	3

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	408252840
1	390186602
2	380174413
3	342491257
4	292770943
5	238461234
6	184763074
7	136560594
8	96653287
9	65683633
10	43104126
11	27489897
12	17069596
13	10424799
14	6286907
15	3814006
16	2323004
17	1464074
18	958952
19	651489
20	463649
21	346774
22	269577
23	217047
24	178511
25	149634
26	128171
27	109808
28	93366
29	81920
30	72256
31	63051
32	56539
33	52260
34	47838
35	41325
36	37881
37	35175
38	32324
39	29099
40	27097
41	24723
42	23263
43	21685
44	19979
45	18190
46	17150
47	16144
48	15445
49	14106
50	13480
51	12747
52	11596
53	11107
54	10693
55	10336
56	9501
57	9152
58	8777
59	8216
60	7607
61	7190
62	6977
63	6463
64	6289
65	6397
66	6197
67	5613
68	5402
69	5175
70	5122
71	4844
72	4519
73	4530
74	4227
75	3973
76	3709
77	3798
78	3708
79	3561
80	3459
81	3204
82	3266
83	3126
84	2967
85	3041
86	2753
87	2700
88	2720
89	2579
90	2499
91	2461
92	2154
93	2332
94	2068
95	2129
96	2099
97	2017
98	2093
99	1918
100	1842
101	1548
102	1563
103	1626
104	1594
105	1685
106	1492
107	1381
108	1444
109	1365
110	1360
111	1386
112	1349
113	1201
114	1265
115	1470
116	1300
117	1276
118	1126
119	1048
120	1142
121	1089
122	1108
123	1164
124	1119
125	994
126	1005
127	1007
128	993
129	993
130	989
131	945
132	890
133	927
134	950
135	881
136	967
137	888
138	862
139	971
140	916
141	827
142	866
143	937
144	931
145	912
146	900
147	1003
148	918
149	1021
150	1064
151	1027
152	983
153	1038
154	1087
155	1060
156	1063
157	1075
158	1140
159	1010
160	1014
161	1041
162	1112
163	975
164	880
165	921
166	998
167	903
168	892
169	870
170	908
171	913
172	910
173	1016
174	902
175	865
176	839
177	848
178	848
179	898
180	960
181	930
182	881
183	910
184	897
185	871
186	851
187	779
188	853
189	889
190	808
191	867
192	869
193	774
194	762
195	815
196	721
197	738
198	691
199	749
200	651
201	676
202	708
203	751
204	710
205	740
206	715
207	805
208	707
209	622
210	652
211	648
212	654
213	674
214	688
215	653
216	648
217	612
218	727
219	602
220	575
221	538
222	560
223	530
224	550
225	575
226	563
227	532
228	532
229	533
230	570
231	524
232	543
233	471
234	464
235	476
236	506
237	520
238	517
239	501
240	484
241	516
242	477
243	468
244	422
245	492
246	491
247	479
248	509
249	485
250	100098

