## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34772-L1_S19_L004.sorted.RG.dedup.bqsr.CollectWgsMetrics.default.txt REFERENCE_SEQUENCE=../../../reference_genome_ensembl/Mus_musculus.GRCm38.dna.primary_assembly.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Mar 18 11:22:52 CET 2020

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2652783500	3,188033	3,19291	3	2	0,13397	0,041082	0,000364	0,024972	0,011787	0,005558	0,217733	0,809942	0,276894	0,032171	0,002245	0,00043	0,000244	0,000171	0,000105	0,000079	0,000065	0,000057	0,000052	0,000048	0,000046	0,439927	3

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	504183169
1	405848786
2	386106662
3	339496257
4	282608928
5	223519261
6	168090203
7	120538605
8	82674313
9	54374403
10	34445169
11	21127515
12	12536230
13	7220993
14	4058187
15	2247593
16	1234759
17	688668
18	398642
19	244682
20	161833
21	114522
22	87220
23	71047
24	58382
25	49734
26	43581
27	37746
28	33266
29	29654
30	26560
31	23974
32	21337
33	19587
34	17386
35	15786
36	14339
37	13240
38	12340
39	11080
40	9956
41	9123
42	8498
43	7574
44	6812
45	6346
46	5821
47	5377
48	4826
49	4595
50	4440
51	4284
52	4038
53	3762
54	3539
55	3374
56	3225
57	3043
58	2972
59	2685
60	2604
61	2526
62	2499
63	2302
64	2176
65	2089
66	1941
67	1922
68	1838
69	1792
70	1642
71	1708
72	1552
73	1596
74	1441
75	1322
76	1303
77	1232
78	1169
79	1136
80	1086
81	1047
82	981
83	945
84	951
85	923
86	875
87	810
88	787
89	794
90	773
91	835
92	883
93	788
94	785
95	747
96	722
97	708
98	658
99	673
100	631
101	590
102	591
103	564
104	640
105	577
106	684
107	616
108	581
109	620
110	619
111	575
112	512
113	479
114	532
115	482
116	512
117	569
118	532
119	549
120	535
121	609
122	625
123	659
124	632
125	696
126	630
127	603
128	596
129	554
130	558
131	521
132	561
133	516
134	516
135	484
136	494
137	523
138	533
139	495
140	620
141	516
142	599
143	633
144	633
145	623
146	634
147	684
148	689
149	651
150	661
151	646
152	651
153	653
154	676
155	637
156	632
157	586
158	606
159	636
160	561
161	610
162	584
163	621
164	593
165	586
166	569
167	550
168	542
169	555
170	576
171	548
172	552
173	545
174	548
175	534
176	588
177	600
178	602
179	574
180	538
181	553
182	523
183	571
184	522
185	504
186	505
187	517
188	486
189	449
190	503
191	520
192	532
193	522
194	510
195	475
196	511
197	453
198	420
199	423
200	432
201	432
202	414
203	433
204	389
205	424
206	403
207	403
208	387
209	361
210	358
211	384
212	410
213	403
214	381
215	367
216	400
217	387
218	384
219	403
220	418
221	367
222	415
223	388
224	395
225	381
226	386
227	377
228	346
229	384
230	334
231	347
232	387
233	368
234	335
235	371
236	346
237	383
238	313
239	312
240	323
241	298
242	349
243	327
244	345
245	333
246	295
247	310
248	323
249	331
250	45532

