## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	516
3	517
4	547
5	557
6	541
7	525
8	503
9	536
10	568
11	584
12	653
13	650
14	708
15	660
16	769
17	766
18	884
19	3062
20	3920
21	5084
22	2099
23	1675
24	1528
25	1587
26	1391
27	1271
28	1338
29	1241
30	1348
31	1369
32	1411
33	1313
34	1328
35	1335
36	1310
37	1287
38	1574
39	1705
40	1895
41	1850
42	1893
43	1921
44	1976
45	1892
46	2067
47	1968
48	2154
49	2074
50	2211
51	2331
52	2195
53	2233
54	2227
55	2227
56	2180
57	2281
58	2293
59	2345
60	2399
61	2491
62	2509
63	2529
64	2594
65	2648
66	2812
67	2821
68	3261
69	3414
70	3667
71	3786
72	3802
73	3942
74	3966
75	4015
76	4198
77	4317
78	4274
79	4466
80	4576
81	4645
82	4705
83	4855
84	4884
85	5007
86	5139
87	5256
88	5340
89	5577
90	5680
91	5585
92	5748
93	5581
94	5784
95	5846
96	5879
97	5951
98	5951
99	6170
100	6545
101	6920
102	7190
103	7213
104	7175
105	7256
106	7341
107	7267
108	7397
109	7347
110	7472
111	7628
112	7876
113	7927
114	7872
115	8070
116	8077
117	8291
118	8451
119	8463
120	8553
121	8825
122	8907
123	8999
124	9332
125	9223
126	9312
127	9682
128	9510
129	9868
130	10129
131	10116
132	10366
133	10380
134	10782
135	10488
136	11276
137	11854
138	12080
139	12125
140	12255
141	12573
142	12641
143	12788
144	13226
145	13229
146	13448
147	13516
148	14169
149	14139
150	14370
151	14667
152	14928
153	15050
154	15099
155	15352
156	15544
157	15884
158	15965
159	16564
160	16643
161	17052
162	16937
163	17197
164	17764
165	18211
166	18632
167	18653
168	18914
169	19193
170	19909
171	20013
172	20487
173	20919
174	21098
175	21400
176	22021
177	22774
178	23168
179	23706
180	23970
181	24833
182	25119
183	25668
184	25767
185	26154
186	27369
187	27715
188	28067
189	28614
190	29331
191	29856
192	30427
193	31152
194	31427
195	32243
196	32753
197	33716
198	34269
199	34916
200	36038
201	36607
202	37504
203	38075
204	38967
205	39939
206	40371
207	41501
208	42551
209	43278
210	44791
211	45432
212	46361
213	47643
214	48355
215	49442
216	50451
217	51474
218	53325
219	54214
220	55229
221	57041
222	57826
223	58963
224	60306
225	61860
226	63885
227	65238
228	66595
229	68620
230	70103
231	71522
232	72778
233	74504
234	76254
235	77341
236	79732
237	81505
238	82966
239	85774
240	87513
241	89090
242	91754
243	93437
244	95461
245	97170
246	99687
247	102051
248	104597
249	106966
250	109047
251	112239
252	113536
253	116719
254	119525
255	121453
256	124239
257	127404
258	129657
259	133315
260	136028
261	139305
262	141747
263	144995
264	147684
265	151468
266	153931
267	156520
268	160680
269	163852
270	166800
271	171600
272	174132
273	177725
274	180596
275	184928
276	187570
277	191364
278	195451
279	199058
280	203972
281	207191
282	211213
283	215344
284	219972
285	224537
286	227735
287	232363
288	238473
289	242529
290	247525
291	250865
292	255174
293	259950
294	263254
295	267322
296	272306
297	274828
298	279890
299	284902
300	287658
301	292822
302	295884
303	300494
304	304886
305	309205
306	312410
307	316330
308	320945
309	324342
310	329032
311	332999
312	337831
313	341856
314	346219
315	350487
316	352985
317	357477
318	359936
319	363640
320	367078
321	370558
322	375416
323	379568
324	382446
325	385752
326	389384
327	391040
328	393984
329	396941
330	399937
331	402716
332	405038
333	409560
334	412788
335	415594
336	417131
337	418872
338	421103
339	424829
340	425246
341	428230
342	428518
343	432378
344	434711
345	437039
346	437123
347	438265
348	439179
349	441434
350	442164
351	443173
352	444984
353	444661
354	447199
355	449456
356	449131
357	449851
358	450780
359	450848
360	450204
361	450643
362	450355
363	450411
364	451578
365	451223
366	451156
367	451619
368	451284
369	451201
370	449940
371	450261
372	449242
373	448272
374	447022
375	447924
376	446624
377	445640
378	444878
379	444543
380	442103
381	442008
382	438964
383	437908
384	437461
385	436789
386	435684
387	433567
388	432217
389	430594
390	428735
391	425301
392	426645
393	422955
394	421463
395	419951
396	417908
397	416787
398	416103
399	414148
400	411406
401	408732
402	406947
403	404565
404	401721
405	399994
406	397796
407	397081
408	394675
409	391856
410	389562
411	387636
412	384575
413	380667
414	378461
415	376447
416	375123
417	371867
418	370218
419	367106
420	365082
421	362166
422	358516
423	356074
424	353625
425	351076
426	347813
427	347172
428	344818
429	342428
430	338733
431	336241
432	333079
433	330905
434	328197
435	325563
436	322220
437	319663
438	317659
439	314175
440	312877
441	309605
442	307297
443	303905
444	299982
445	297739
446	295523
447	293364
448	290204
449	288384
450	286856
451	283140
452	281397
453	276860
454	273390
455	272270
456	268644
457	267020
458	265150
459	261312
460	260156
461	258013
462	254174
463	252340
464	249150
465	245727
466	243287
467	241345
468	238726
469	236571
470	233983
471	231808
472	229166
473	226954
474	224346
475	221137
476	219012
477	216683
478	213515
