## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=../output/I34794-L1_S85_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.pdf INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34794-L1_S85_L003.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34794-L1_S85_L003.sorted.RG.dedup.bqsr.CollectInsertSizeMetrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 00:45:47 CET 2020

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
397	381	59	2	189473967	402,362338	96,616893	58216967	FR	23	45	67	91	119	149	185	233	315	397	609			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	379
3	391
4	411
5	419
6	415
7	411
8	403
9	407
10	408
11	423
12	442
13	440
14	464
15	488
16	512
17	549
18	673
19	1787
20	2496
21	2946
22	1439
23	1172
24	1215
25	1389
26	1087
27	1141
28	1128
29	1080
30	1134
31	1174
32	1134
33	1032
34	1109
35	1010
36	991
37	1230
38	968
39	1017
40	1072
41	1051
42	1123
43	1132
44	1097
45	1137
46	1309
47	1088
48	1215
49	1159
50	1185
51	1567
52	1532
53	1681
54	1644
55	1671
56	1733
57	1795
58	1789
59	1797
60	1798
61	1855
62	1953
63	1939
64	1996
65	2094
66	2144
67	2094
68	2104
69	2098
70	2161
71	2155
72	2166
73	2327
74	2247
75	2372
76	2355
77	2382
78	2455
79	2571
80	2609
81	2916
82	3283
83	3360
84	3572
85	3566
86	3550
87	3610
88	3773
89	3754
90	3883
91	3934
92	4097
93	4015
94	4061
95	3964
96	4163
97	4278
98	4302
99	4326
100	4392
101	4403
102	4460
103	4531
104	4677
105	4772
106	4920
107	4657
108	4873
109	4925
110	4892
111	4923
112	4913
113	5100
114	5341
115	5626
116	5558
117	5717
118	5735
119	5584
120	5826
121	5801
122	5751
123	5872
124	5930
125	5970
126	5987
127	6221
128	6157
129	6277
130	6515
131	6503
132	6625
133	6568
134	6807
135	6753
136	6914
137	6969
138	7230
139	7160
140	7114
141	7367
142	7436
143	7346
144	7553
145	7664
146	7547
147	7932
148	8153
149	7962
150	8357
151	8570
152	8865
153	8904
154	9033
155	8981
156	9114
157	9296
158	9176
159	9343
160	9565
161	9553
162	9826
163	9772
164	10016
165	10159
166	10128
167	10311
168	10387
169	10708
170	10733
171	11202
172	11206
173	11384
174	11563
175	11246
176	11910
177	11977
178	12174
179	12349
180	12473
181	12862
182	12704
183	13005
184	13370
185	13650
186	13980
187	14102
188	14302
189	14176
190	14462
191	14985
192	15467
193	15881
194	16153
195	16308
196	16509
197	16812
