## htsjdk.samtools.metrics.StringHeader
# CollectWgsMetrics INPUT=../../05_alignments_addRG_dedup_bqsr/output/I34799-L1_S90_L003.sorted.RG.dedup.bqsr.bam OUTPUT=../output/I34799-L1_S90_L003.sorted.RG.dedup.bqsr.CollectWgsMetrics.Q0.M0.txt MINIMUM_MAPPING_QUALITY=0 MINIMUM_BASE_QUALITY=0 REFERENCE_SEQUENCE=../../../reference_genome_ensembl/Mus_musculus.GRCm38.dna.primary_assembly.fa    COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 ALLELE_FRACTION=[0.001, 0.005, 0.01, 0.02, 0.05, 0.1, 0.2, 0.3, 0.5] USE_FAST_ALGORITHM=false READ_LENGTH=150 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 26 12:24:15 CET 2020

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2652783500	7,399556	4,81317	7	3	0	0,046278	0,000545	0,00001	0,01671	0,012663	0,076206	0,954028	0,758378	0,275709	0,043317	0,006363	0,002437	0,001492	0,000765	0,000466	0,000316	0,000233	0,000186	0,000157	0,000138	0,803548	7

## HISTOGRAM	java.lang.Integer
coverage	high_quality_coverage_count
0	121952970
1	56955915
2	102232895
3	154654074
4	205174215
5	245097791
6	268870449
7	273641470
8	260293478
9	232513318
10	196049744
11	156502368
12	118627360
13	85837336
14	59469053
15	39693937
16	25699557
17	16221149
18	10115024
19	6301063
20	3971164
21	2568235
22	1734747
23	1229429
24	911963
25	705998
26	571667
27	477241
28	404139
29	348874
30	304711
31	268745
32	236096
33	211063
34	189961
35	170059
36	154052
37	141154
38	130794
39	120172
40	111271
41	101968
42	93286
43	85588
44	80064
45	73962
46	69573
47	65070
48	59048
49	54929
50	51712
51	48582
52	45435
53	42252
54	40016
55	37623
56	35255
57	33631
58	31341
59	30092
60	28615
61	27222
62	24854
63	23634
64	22514
65	20786
66	19675
67	18637
68	17666
69	16745
70	15702
71	14599
72	13685
73	13475
74	12963
75	12292
76	11863
77	11198
78	10413
79	9859
80	9320
81	8935
82	8300
83	7954
84	7608
85	7356
86	7439
87	6863
88	6521
89	6403
90	6168
91	5825
92	5345
93	5120
94	5077
95	4976
96	4661
97	4365
98	4225
99	3982
100	3906
101	3879
102	3871
103	3684
104	3647
105	3517
106	3344
107	3152
108	3010
109	2812
110	2823
111	2741
112	2852
113	2742
114	2772
115	2607
116	2482
117	2318
118	2319
119	2260
120	2127
121	2010
122	2259
123	2133
124	2126
125	1995
126	2107
127	1972
128	1892
129	1906
130	1807
131	1942
132	1848
133	1881
134	1798
135	1775
136	1649
137	1698
138	1712
139	1623
140	1651
141	1625
142	1602
143	1599
144	1627
145	1527
146	1575
147	1467
148	1454
149	1482
150	1467
151	1446
152	1398
153	1427
154	1445
155	1393
156	1386
157	1239
158	1260
159	1324
160	1329
161	1286
162	1218
163	1232
164	1257
165	1069
166	1068
167	1010
168	979
169	1009
170	1113
171	1053
172	990
173	935
174	1075
175	949
176	1005
177	895
178	936
179	890
180	930
181	915
182	830
183	849
184	852
185	868
186	849
187	778
188	791
189	818
190	816
191	848
192	848
193	830
194	796
195	838
196	791
197	737
198	784
199	826
200	705
201	712
202	791
203	727
204	715
205	674
206	783
207	771
208	801
209	702
210	696
211	685
212	659
213	619
214	594
215	639
216	641
217	672
218	634
219	663
220	787
221	640
222	609
223	650
224	606
225	619
226	570
227	646
228	630
229	632
230	628
231	594
232	565
233	619
234	635
235	688
236	707
237	688
238	641
239	630
240	610
241	651
242	740
243	696
244	704
245	620
246	646
247	607
248	649
249	647
250	167011

