"","Linie","lfd..Nr.","KaNr","TierNr","Sektionsdatum","Lab_ID","Extraction_date","Nucleic.Acid.Conc.","Unit","X260.280","order","selection","Plate","Pos1","Pos2","row_col","row","col","content_barcode","content_name","sample_id","resequenced"
"1","FZTDU",1,41,2,"05.01.2018","FZTDU1","08.03.2018",53.3,"ng/µl",1.86,1,"x","PS332","A",1,"A_1","A",1,"S074968","H07738-S1","H07738",FALSE
"2","FZTDU",2,55,2,"05.01.2018","FZTDU2","08.03.2018",84.3,"ng/µl",1.85,2,"x","PS332","B",1,"B_1","B",1,"S074969","H07739-S1","H07739",TRUE
"3","FZTDU",4,28,2,"05.01.2018","FZTDU4","08.03.2018",64.4,"ng/µl",1.87,4,"x","PS332","C",1,"C_1","C",1,"S074970","H07740-S1","H07740",FALSE
"4","FZTDU",5,51,2,"05.01.2018","FZTDU5","08.03.2018",125.7,"ng/µl",1.83,5,"x","PS332","D",1,"D_1","D",1,"S074971","H07741-S1","H07741",FALSE
"5","FZTDU",7,52,2,"05.01.2018","FZTDU7","08.03.2018",88.2,"ng/µl",1.87,7,"x","PS332","E",1,"E_1","E",1,"S074972","H07742-S1","H07742",FALSE
"6","FZTDU",8,53,2,"05.01.2018","FZTDU8","08.03.2018",147.3,"ng/µl",1.85,8,"x","PS332","F",1,"F_1","F",1,"S074973","H07743-S1","H07743",FALSE
"7","FZTDU",13,80,2,"05.01.2018","FZTDU13","08.03.2018",78.8,"ng/µl",1.86,13,"x","PS332","G",1,"G_1","G",1,"S074974","H07744-S1","H07744",FALSE
"8","FZTDU",15,100,2,"05.01.2018","FZTDU15","08.03.2018",104.5,"ng/µl",1.82,15,"x","PS332","H",1,"H_1","H",1,"S074975","H07745-S1","H07745",FALSE
"9","FZTDU",16,87,2,"05.01.2018","FZTDU16","08.03.2018",99,"ng/µl",1.82,16,"x","PS332","A",2,"A_2","A",2,"S074976","H07746-S1","H07746",FALSE
"10","FZTDU",19,15,2,"05.01.2018","FZTDU19","08.03.2018",72.7,"ng/µl",1.84,19,"x","PS332","B",2,"B_2","B",2,"S074977","H07747-S1","H07747",FALSE
